index;start_s;end_s;duration_s;symbol;best_score;second_score;confidence
1;0.660;1.380;0.720;+;0.522692;0.573195;0.088
2;1.920;2.610;0.690;7;0.390065;0.528311;0.262
3;3.190;3.940;0.750;3;0.407918;0.423615;0.037
4;4.430;5.270;0.840;8;0.271284;0.372705;0.272
5;6.030;6.430;0.400;0;0.335115;0.383448;0.126
6;7.320;7.910;0.590;2;0.159746;0.208321;0.233
7;8.470;9.050;0.580;0;0.168036;0.284395;0.409
8;9.600;10.310;0.710;0;0.299062;0.328590;0.090
9;10.780;11.620;0.840;8;0.266512;0.378325;0.296
10;12.180;12.600;0.420;0;0.320801;0.339015;0.054
11;13.320;13.850;0.530;3;0.208848;0.489702;0.574
12;14.570;14.890;0.320;3;0.215803;0.453586;0.524
