symbol;unicode;width;height;mass;q1_weight;q2_weight;q3_weight;q4_weight;q1_density;q2_density;q3_density;q4_density;center_x;center_y;center_x_norm;center_y_norm;inertia_x;inertia_y;inertia_x_norm;inertia_y_norm
А;U+0410;10;9;28;4;5;8;11;0,200000;0,250000;0,320000;0,440000;4,714286;4,892857;0,523810;0,611607;194,678571;151,714286;0,085837;0,054184
Ә;U+04D8;10;10;35;8;10;8;9;0,320000;0,400000;0,320000;0,360000;4,742857;4,771429;0,526984;0,530159;262,171429;268,685714;0,074906;0,076767
Б;U+0411;8;10;34;10;6;9;9;0,500000;0,300000;0,450000;0,450000;3,323529;4,617647;0,474790;0,513072;378,029412;133,441176;0,111185;0,061324
В;U+0412;9;10;40;10;11;9;10;0,500000;0,440000;0,450000;0,400000;3,975000;4,500000;0,496875;0,500000;426,000000;220,975000;0,106500;0,068202
Г;U+0413;8;10;23;9;5;9;0;0,450000;0,250000;0,450000;0,000000;2,565217;3,565217;0,366460;0,396135;301,652174;85,652174;0,131153;0,058188
Ғ;U+0492;8;10;27;12;6;9;0;0,600000;0,300000;0,450000;0,000000;2,407407;3,740741;0,343915;0,415638;295,185185;82,518519;0,109328;0,047754
Д;U+0414;9;12;34;6;10;8;10;0,250000;0,333333;0,333333;0,333333;4,647059;5,470588;0,580882;0,497326;536,470588;233,764706;0,109573;0,084882
Е;U+0415;8;10;30;10;6;9;5;0,500000;0,300000;0,450000;0,250000;3,066667;4,700000;0,438095;0,522222;382,300000;117,866667;0,127433;0,061389
Ё;U+0401;8;12;32;9;4;11;8;0,375000;0,166667;0,458333;0,333333;3,125000;6,281250;0,446429;0,571023;466,468750;121,500000;0,101230;0,059326
Ж;U+0416;12;10;48;10;13;11;14;0,333333;0,433333;0,366667;0,466667;5,687500;4,708333;0,517045;0,523148;521,916667;400,312500;0,108733;0,057916
З;U+0417;5;10;21;3;9;1;8;0,300000;0,600000;0,100000;0,533333;2,761905;4,238095;0,690476;0,470899;201,809524;29,809524;0,096100;0,056780
И;U+0418;10;10;46;9;14;11;12;0,360000;0,560000;0,440000;0,480000;4,956522;4,500000;0,550725;0,500000;479,500000;381,913043;0,104239;0,083025
Й;U+0419;10;14;54;10;13;13;18;0,285714;0,371429;0,371429;0,514286;4,981481;7,444444;0,553498;0,572650;829,333333;400,981481;0,078357;0,074256
К;U+041A;9;10;32;10;7;9;6;0,500000;0,280000;0,450000;0,240000;3,343750;4,281250;0,417969;0,475694;356,468750;151,218750;0,111396;0,058341
Қ;U+049A;9;11;34;10;6;9;9;0,500000;0,240000;0,375000;0,300000;3,647059;4,823529;0,455882;0,482353;396,941176;197,764706;0,096485;0,071810
Л;U+041B;9;10;30;6;9;6;9;0,300000;0,360000;0,300000;0,360000;4,800000;4,500000;0,600000;0,500000;365,500000;172,800000;0,121833;0,071111
М;U+041C;12;10;41;10;10;9;12;0,333333;0,333333;0,300000;0,400000;6,097561;4,634146;0,554324;0,514905;431,512195;541,609756;0,105247;0,091736
Н;U+041D;10;10;46;11;14;9;12;0,440000;0,560000;0,360000;0,480000;4,956522;4,456522;0,550725;0,495169;475,413043;381,913043;0,103351;0,083025
Ң;U+04A2;10;12;49;12;16;8;13;0,400000;0,533333;0,266667;0,433333;5,183673;4,816327;0,575964;0,437848;573,346939;421,346939;0,081257;0,085989
О;U+041E;9;10;31;7;8;8;8;0,350000;0,320000;0,400000;0,320000;3,741935;4,612903;0,467742;0,512545;283,354839;247,935484;0,091405;0,098740
Ө;U+04E8;9;10;35;9;10;8;8;0,450000;0,400000;0,400000;0,320000;3,714286;4,657143;0,464286;0,517460;271,885714;253,142857;0,077682;0,089292
П;U+041F;10;10;44;10;13;9;12;0,400000;0,520000;0,360000;0,480000;4,977273;4,295455;0,553030;0,477273;513,159091;376,977273;0,116627;0,085677
Р;U+0420;7;10;29;8;9;8;4;0,533333;0,450000;0,533333;0,200000;2,931034;3,827586;0,488506;0,425287;290,137931;97,862069;0,100048;0,068868
С;U+0421;8;10;23;8;4;8;3;0,400000;0,200000;0,400000;0,150000;2,391304;4,347826;0,341615;0,483092;277,217391;109,478261;0,120529;0,074374
Т;U+0422;8;10;22;4;9;3;6;0,200000;0,450000;0,150000;0,300000;3,818182;3,727273;0,545455;0,414141;288,363636;59,272727;0,131074;0,042097
У;U+0423;10;10;24;10;7;4;3;0,400000;0,280000;0,160000;0,120000;4,333333;3,041667;0,481481;0,337963;210,958333;137,333333;0,087899;0,057222
Ұ;U+04B0;10;10;32;8;8;8;8;0,320000;0,320000;0,320000;0,320000;4,625000;4,031250;0,513889;0,447917;312,968750;143,500000;0,097803;0,044844
Ү;U+04AE;10;10;28;8;8;6;6;0,320000;0,320000;0,240000;0,240000;4,642857;3,892857;0,515873;0,432540;308,678571;126,428571;0,110242;0,045153
Ф;U+0424;9;10;40;7;13;7;13;0,350000;0,520000;0,350000;0,520000;4,100000;4,500000;0,512500;0,500000;298,000000;231,600000;0,074500;0,071481
Х;U+0425;10;10;36;11;9;6;10;0,440000;0,360000;0,240000;0,400000;4,750000;4,111111;0,527778;0,456790;441,555556;232,750000;0,122654;0,064653
Һ;U+04BA;9;10;34;9;3;10;12;0,450000;0,120000;0,500000;0,480000;3,705882;5,470588;0,463235;0,607843;320,470588;195,058824;0,094256;0,070827
Ц;U+0426;10;12;46;10;14;9;13;0,333333;0,466667;0,300000;0,433333;5,130435;4,978261;0,570048;0,452569;586,978261;401,217391;0,088614;0,087221
Ч;U+0427;9;10;40;12;13;2;13;0,600000;0,520000;0,100000;0,520000;4,700000;3,675000;0,587500;0,408333;342,775000;232,400000;0,085694;0,071728
Ш;U+0428;14;10;68;15;18;16;19;0,428571;0,514286;0,457143;0,542857;6,985294;4,632353;0,537330;0,514706;759,808824;1056,985294;0,111737;0,079306
Щ;U+0429;14;12;70;17;21;14;18;0,404762;0,500000;0,333333;0,428571;7,142857;4,814286;0,549451;0,437662;836,585714;1116,571429;0,082995;0,081383
Ъ;U+042A;9;10;37;8;9;6;14;0,400000;0,360000;0,300000;0,560000;4,378378;4,783784;0,547297;0,531532;358,270270;148,702703;0,096830;0,049617
