axis;index;value
horizontal_y;0;4
horizontal_y;1;6
horizontal_y;2;8
horizontal_y;3;7
horizontal_y;4;7
horizontal_y;5;8
horizontal_y;6;0
horizontal_y;7;0
horizontal_y;8;0
horizontal_y;9;637
horizontal_y;10;436
horizontal_y;11;332
horizontal_y;12;296
horizontal_y;13;290
horizontal_y;14;293
horizontal_y;15;294
horizontal_y;16;291
horizontal_y;17;290
horizontal_y;18;295
horizontal_y;19;304
horizontal_y;20;346
horizontal_y;21;403
horizontal_y;22;342
horizontal_y;23;305
horizontal_y;24;361
horizontal_y;25;298
horizontal_y;26;290
horizontal_y;27;291
horizontal_y;28;297
horizontal_y;29;298
horizontal_y;30;305
horizontal_y;31;325
horizontal_y;32;436
horizontal_y;33;735
horizontal_y;34;28
horizontal_y;35;19
horizontal_y;36;14
horizontal_y;37;13
horizontal_y;38;9
horizontal_y;39;8
horizontal_y;40;5
vertical_x;0;7
vertical_x;1;11
vertical_x;2;15
vertical_x;3;17
vertical_x;4;19
vertical_x;5;8
vertical_x;6;7
vertical_x;7;4
vertical_x;8;3
vertical_x;9;4
vertical_x;10;4
vertical_x;11;2
vertical_x;12;2
vertical_x;13;2
vertical_x;14;4
vertical_x;15;4
vertical_x;16;4
vertical_x;17;5
vertical_x;18;6
vertical_x;19;11
vertical_x;20;19
vertical_x;21;17
vertical_x;22;13
vertical_x;23;9
vertical_x;24;0
vertical_x;25;0
vertical_x;26;0
vertical_x;27;6
vertical_x;28;12
vertical_x;29;15
vertical_x;30;17
vertical_x;31;19
vertical_x;32;10
vertical_x;33;7
vertical_x;34;5
vertical_x;35;5
vertical_x;36;4
vertical_x;37;4
vertical_x;38;3
vertical_x;39;3
vertical_x;40;3
vertical_x;41;3
vertical_x;42;4
vertical_x;43;2
vertical_x;44;4
vertical_x;45;2
vertical_x;46;3
vertical_x;47;7
vertical_x;48;9
vertical_x;49;0
vertical_x;50;0
vertical_x;51;2
vertical_x;52;2
vertical_x;53;2
vertical_x;54;4
vertical_x;55;25
vertical_x;56;25
vertical_x;57;25
vertical_x;58;25
vertical_x;59;4
vertical_x;60;3
vertical_x;61;3
vertical_x;62;4
vertical_x;63;4
vertical_x;64;6
vertical_x;65;7
vertical_x;66;10
vertical_x;67;12
vertical_x;68;10
vertical_x;69;8
vertical_x;70;4
vertical_x;71;0
vertical_x;72;2
vertical_x;73;2
vertical_x;74;4
vertical_x;75;25
vertical_x;76;25
vertical_x;77;25
vertical_x;78;25
vertical_x;79;4
vertical_x;80;2
vertical_x;81;2
vertical_x;82;0
vertical_x;83;0
vertical_x;84;0
vertical_x;85;0
vertical_x;86;0
vertical_x;87;0
vertical_x;88;0
vertical_x;89;0
vertical_x;90;0
vertical_x;91;0
vertical_x;92;0
vertical_x;93;3
vertical_x;94;5
vertical_x;95;6
vertical_x;96;5
vertical_x;97;7
vertical_x;98;8
vertical_x;99;10
vertical_x;100;11
vertical_x;101;11
vertical_x;102;9
vertical_x;103;7
vertical_x;104;7
vertical_x;105;4
vertical_x;106;4
vertical_x;107;25
vertical_x;108;25
vertical_x;109;25
vertical_x;110;25
vertical_x;111;5
vertical_x;112;4
vertical_x;113;5
vertical_x;114;7
vertical_x;115;7
vertical_x;116;10
vertical_x;117;13
vertical_x;118;11
vertical_x;119;8
vertical_x;120;8
vertical_x;121;6
vertical_x;122;5
vertical_x;123;6
vertical_x;124;3
vertical_x;125;1
vertical_x;126;0
vertical_x;127;1
