index;symbol;unicode;width;height;mass;mass_norm;center_x_norm;center_y_norm;inertia_x_norm;inertia_y_norm
1;;;11;12;52;0,393939;0,484615;0,500000;0,089877;0,110421
2;;;10;12;38;0,316667;0,365497;0,480861;0,111077;0,093109
3;;;15;12;82;0,455556;0,515679;0,548780;0,097467;0,086615
4;;;16;12;81;0,421875;0,501235;0,517396;0,104534;0,056241
5;;;10;12;51;0,425000;0,509804;0,458111;0,089042;0,059677
6;;;16;12;79;0,411458;0,517300;0,512083;0,093561;0,081410
7;;;10;12;38;0,316667;0,365497;0,480861;0,111077;0,093109
8;;;11;12;42;0,318182;0,516667;0,627706;0,069712;0,066083
9;;;12;15;61;0,338889;0,463487;0,436768;0,079723;0,068922
10;;;13;12;70;0,448718;0,476190;0,500000;0,075149;0,064099
11;;;9;12;50;0,462963;0,505000;0,429091;0,091956;0,067141
12;;;11;12;42;0,318182;0,516667;0,627706;0,069712;0,066083
13;;;13;12;69;0,442308;0,500000;0,496706;0,106397;0,074951
14;;;13;15;68;0,348718;0,519608;0,424370;0,082860;0,082513
15;;;10;12;37;0,308333;0,477477;0,390663;0,080655;0,063711
16;;;7;12;37;0,440476;0,639640;0,476658;0,110513;0,074477
17;;;11;12;52;0,393939;0,484615;0,500000;0,089877;0,110421
18;;;9;12;50;0,462963;0,505000;0,429091;0,091956;0,067141
19;;;11;12;42;0,318182;0,516667;0,627706;0,069712;0,066083
20;;;16;12;79;0,411458;0,517300;0,512083;0,093561;0,081410
21;;;12;15;62;0,344444;0,574780;0,474654;0,094638;0,075890
22;;;11;12;42;0,318182;0,516667;0,627706;0,069712;0,066083
23;;;9;12;50;0,462963;0,505000;0,429091;0,091956;0,067141
24;;;15;12;82;0,455556;0,515679;0,548780;0,097467;0,086615
25;;;13;12;69;0,442308;0,500000;0,496706;0,106397;0,074951
26;;;11;12;55;0,416667;0,454545;0,512397;0,107668;0,063356
27;;;11;12;60;0,454545;0,493333;0,487879;0,080316;0,101892
28;;;10;12;57;0,475000;0,504873;0,531100;0,100339;0,067042
29;;;6;12;32;0,444444;0,500000;0,500000;0,114583;0,034722
30;;;9;12;50;0,462963;0,505000;0,429091;0,091956;0,067141
31;;;10;12;52;0,433333;0,489316;0,486014;0,111347;0,073177
32;;;11;12;55;0,416667;0,454545;0,512397;0,107668;0,063356
33;;;16;12;81;0,421875;0,501235;0,517396;0,104534;0,056241
34;;;10;12;52;0,433333;0,489316;0,486014;0,111347;0,073177
35;;;13;12;65;0,416667;0,500000;0,492308;0,116003;0,078653
36;;;18;12;92;0,425926;0,500000;0,521739;0,110035;0,080079
37;;;11;12;42;0,318182;0,516667;0,627706;0,069712;0,066083
38;;;13;16;84;0,403846;0,499008;0,539683;0,088878;0,066004
39;;;6;12;32;0,444444;0,500000;0,500000;0,114583;0,034722
40;;;18;12;92;0,425926;0,500000;0,521739;0,110035;0,080079
41;;;6;12;32;0,444444;0,500000;0,500000;0,114583;0,034722
42;;;13;15;74;0,379487;0,530405;0,424710;0,077945;0,081013
43;;;6;12;32;0,444444;0,500000;0,500000;0,114583;0,034722
44;;;7;12;37;0,440476;0,639640;0,476658;0,110513;0,074477
