1: [("О", 1.0000), ("Ө", 0.7894), ("Ә", 0.7771), ("Н", 0.7726), ("И", 0.7687), ("В", 0.7560), ("Э", 0.7310), ("М", 0.7223), ("Ё", 0.7179), ("Д", 0.7178), ("Қ", 0.7160), ("П", 0.7086), ("Б", 0.6934), ("Р", 0.6932), ("Е", 0.6829), ("Ы", 0.6754), ("Ч", 0.6694), ("Ц", 0.6602), ("Й", 0.6568), ("Ю", 0.6549), ("С", 0.6524), ("Ф", 0.6484), ("Һ", 0.6408), ("К", 0.6363), ("Ь", 0.6323), ("Я", 0.6297), ("Ъ", 0.6292), ("Ң", 0.6202), ("Л", 0.6141), ("З", 0.6100), ("Х", 0.5949), ("Ш", 0.5881), ("А", 0.5702), ("Ұ", 0.5636), ("Ж", 0.5612), ("У", 0.5598), ("Щ", 0.5453), ("Ү", 0.5423), ("Ғ", 0.5389), ("Г", 0.5055), ("Т", 0.5048), ("І", 0.4810)]
2: [("С", 1.0000), ("Е", 0.7795), ("Х", 0.6877), ("Б", 0.6796), ("Р", 0.6716), ("В", 0.6694), ("К", 0.6693), ("П", 0.6660), ("О", 0.6524), ("Қ", 0.6469), ("Д", 0.6467), ("И", 0.6288), ("Н", 0.6285), ("Э", 0.6240), ("Ё", 0.6211), ("Г", 0.6199), ("Ғ", 0.6167), ("Ъ", 0.6008), ("У", 0.5980), ("Ү", 0.5945), ("Л", 0.5923), ("Ч", 0.5855), ("Ө", 0.5824), ("Ь", 0.5773), ("Ұ", 0.5756), ("З", 0.5754), ("М", 0.5703), ("Я", 0.5678), ("Һ", 0.5671), ("Т", 0.5656), ("Ә", 0.5617), ("Ю", 0.5601), ("Ы", 0.5550), ("Ж", 0.5535), ("Ф", 0.5446), ("І", 0.5440), ("Ш", 0.5355), ("Й", 0.5303), ("Ц", 0.5293), ("А", 0.5141), ("Ң", 0.5026), ("Щ", 0.4620)]
3: [("Ы", 1.0000), ("М", 0.8847), ("Ю", 0.8092), ("И", 0.8021), ("Н", 0.7949), ("Й", 0.7752), ("Ш", 0.7442), ("П", 0.7172), ("В", 0.6969), ("О", 0.6754), ("Ё", 0.6629), ("Ә", 0.6503), ("Ө", 0.6454), ("Д", 0.6320), ("Б", 0.6258), ("Е", 0.6221), ("Қ", 0.6207), ("Һ", 0.6192), ("Ц", 0.6122), ("К", 0.5863), ("Э", 0.5849), ("Ь", 0.5835), ("Ң", 0.5825), ("Ф", 0.5824), ("Щ", 0.5723), ("Я", 0.5710), ("Р", 0.5641), ("Ъ", 0.5576), ("Ж", 0.5572), ("С", 0.5550), ("Л", 0.5549), ("Ч", 0.5507), ("Х", 0.5491), ("А", 0.5152), ("З", 0.5098), ("Ұ", 0.4855), ("Ғ", 0.4780), ("Ү", 0.4689), ("У", 0.4679), ("Г", 0.4548), ("Т", 0.4447), ("І", 0.4321)]
4: [("Ж", 0.8847), ("Ъ", 0.7647), ("Я", 0.7532), ("Б", 0.7188), ("К", 0.7125), ("В", 0.6950), ("Ф", 0.6897), ("Л", 0.6816), ("Ё", 0.6800), ("Х", 0.6730), ("Қ", 0.6620), ("Е", 0.6590), ("Ұ", 0.6578), ("Й", 0.6393), ("Ь", 0.6332), ("Э", 0.6275), ("Ү", 0.6252), ("Р", 0.6179), ("Һ", 0.6115), ("Д", 0.6098), ("А", 0.6092), ("И", 0.6077), ("Ө", 0.6067), ("Н", 0.6062), ("Ш", 0.5984), ("Т", 0.5931), ("О", 0.5924), ("Ә", 0.5889), ("Ю", 0.5872), ("Ч", 0.5860), ("М", 0.5858), ("П", 0.5850), ("Ы", 0.5816), ("Ғ", 0.5761), ("С", 0.5686), ("З", 0.5634), ("У", 0.5569), ("І", 0.5508), ("Г", 0.5480), ("Ц", 0.5068), ("Щ", 0.4942), ("Ң", 0.4935)]
5: [("Р", 0.8074), ("Қ", 0.7986), ("Б", 0.7626), ("К", 0.7459), ("Ё", 0.7342), ("В", 0.7226), ("Ф", 0.7126), ("Ь", 0.7110), ("Ө", 0.7036), ("Ъ", 0.6993), ("Ұ", 0.6893), ("О", 0.6880), ("Е", 0.6844), ("Э", 0.6740), ("Ғ", 0.6723), ("Ә", 0.6670), ("Һ", 0.6591), ("С", 0.6552), ("У", 0.6545), ("Я", 0.6447), ("Ү", 0.6440), ("Ч", 0.6385), ("Ж", 0.6243), ("А", 0.6212), ("Н", 0.6175), ("И", 0.6154), ("Х", 0.6132), ("Д", 0.6067), ("Г", 0.6059), ("Л", 0.6038), ("Т", 0.5912), ("Й", 0.5888), ("П", 0.5870), ("З", 0.5823), ("М", 0.5765), ("Ю", 0.5676), ("Ы", 0.5594), ("Ц", 0.5566), ("Ң", 0.5378), ("І", 0.5275), ("Ш", 0.5215), ("Щ", 0.4940)]
6: [("М", 1.0000), ("Ы", 0.8847), ("И", 0.8529), ("Н", 0.8484), ("Ю", 0.7916), ("Й", 0.7627), ("П", 0.7447), ("О", 0.7223), ("Ш", 0.7176), ("В", 0.7126), ("Ә", 0.6844), ("Ө", 0.6829), ("Ё", 0.6672), ("Д", 0.6660), ("Ц", 0.6501), ("Қ", 0.6371), ("Б", 0.6327), ("Е", 0.6317), ("Э", 0.6186), ("Ң", 0.6148), ("Һ", 0.6113), ("Ф", 0.5994), ("Я", 0.5915), ("К", 0.5885), ("Щ", 0.5878), ("Ч", 0.5868), ("Р", 0.5865), ("Ь", 0.5820), ("Л", 0.5752), ("Ъ", 0.5719), ("С", 0.5703), ("Х", 0.5612), ("Ж", 0.5562), ("З", 0.5355), ("А", 0.5219), ("Ұ", 0.5003), ("У", 0.4859), ("Ғ", 0.4842), ("Ү", 0.4828), ("Г", 0.4593), ("Т", 0.4562), ("І", 0.4405)]
7: [("С", 1.0000), ("Е", 0.7795), ("Х", 0.6877), ("Б", 0.6796), ("Р", 0.6716), ("В", 0.6694), ("К", 0.6693), ("П", 0.6660), ("О", 0.6524), ("Қ", 0.6469), ("Д", 0.6467), ("И", 0.6288), ("Н", 0.6285), ("Э", 0.6240), ("Ё", 0.6211), ("Г", 0.6199), ("Ғ", 0.6167), ("Ъ", 0.6008), ("У", 0.5980), ("Ү", 0.5945), ("Л", 0.5923), ("Ч", 0.5855), ("Ө", 0.5824), ("Ь", 0.5773), ("Ұ", 0.5756), ("З", 0.5754), ("М", 0.5703), ("Я", 0.5678), ("Һ", 0.5671), ("Т", 0.5656), ("Ә", 0.5617), ("Ю", 0.5601), ("Ы", 0.5550), ("Ж", 0.5535), ("Ф", 0.5446), ("І", 0.5440), ("Ш", 0.5355), ("Й", 0.5303), ("Ц", 0.5293), ("А", 0.5141), ("Ң", 0.5026), ("Щ", 0.4620)]
8: [("А", 0.7965), ("Ә", 0.7074), ("Ь", 0.7027), ("Э", 0.6993), ("Ё", 0.6941), ("Ъ", 0.6903), ("Һ", 0.6871), ("Ф", 0.6679), ("Ө", 0.6578), ("Я", 0.6553), ("Б", 0.6545), ("О", 0.6488), ("В", 0.6304), ("Қ", 0.6186), ("З", 0.6185), ("Л", 0.6175), ("Д", 0.6174), ("К", 0.6097), ("Р", 0.5940), ("Й", 0.5895), ("Е", 0.5849), ("Ұ", 0.5810), ("Ж", 0.5793), ("И", 0.5756), ("Н", 0.5745), ("М", 0.5689), ("Ч", 0.5676), ("Ы", 0.5537), ("С", 0.5496), ("Х", 0.5455), ("Ү", 0.5450), ("П", 0.5373), ("Ю", 0.5243), ("У", 0.5190), ("І", 0.5138), ("Ғ", 0.5136), ("Ц", 0.5083), ("Т", 0.5071), ("Ш", 0.4962), ("Ң", 0.4928), ("Г", 0.4829), ("Щ", 0.4531)]
9: [("Қ", 1.0000), ("Р", 0.8169), ("В", 0.8081), ("Б", 0.7785), ("Ё", 0.7664), ("К", 0.7594), ("Ө", 0.7476), ("Ф", 0.7289), ("О", 0.7160), ("Е", 0.7095), ("Ь", 0.6921), ("Н", 0.6884), ("И", 0.6844), ("Ә", 0.6834), ("Һ", 0.6638), ("Ъ", 0.6609), ("Й", 0.6558), ("Ю", 0.6511), ("Ғ", 0.6507), ("Ч", 0.6473), ("С", 0.6469), ("Э", 0.6445), ("Ж", 0.6405), ("П", 0.6403), ("Ұ", 0.6374), ("М", 0.6371), ("Я", 0.6357), ("Ы", 0.6207), ("У", 0.6205), ("Х", 0.6138), ("Ц", 0.6103), ("Д", 0.6102), ("Ү", 0.5984), ("Л", 0.5890), ("Ң", 0.5875), ("Г", 0.5848), ("Ш", 0.5824), ("А", 0.5749), ("Т", 0.5559), ("Щ", 0.5515), ("З", 0.5481), ("І", 0.4906)]
10: [("Ф", 1.0000), ("Ө", 0.7428), ("Қ", 0.7289), ("Ё", 0.7091), ("Ә", 0.7063), ("Я", 0.7012), ("Ъ", 0.6965), ("В", 0.6894), ("Б", 0.6818), ("Р", 0.6794), ("Ь", 0.6706), ("Й", 0.6661), ("Ж", 0.6595), ("К", 0.6559), ("Ұ", 0.6542), ("Э", 0.6524), ("О", 0.6484), ("Ч", 0.6440), ("Һ", 0.6393), ("А", 0.6352), ("Н", 0.6138), ("И", 0.6113), ("Л", 0.6050), ("Е", 0.5997), ("М", 0.5994), ("Ю", 0.5905), ("Ү", 0.5870), ("Д", 0.5839), ("Ы", 0.5824), ("У", 0.5809), ("Ц", 0.5733), ("Ғ", 0.5680), ("Х", 0.5650), ("Ң", 0.5646), ("П", 0.5609), ("З", 0.5602), ("Ш", 0.5485), ("С", 0.5446), ("Т", 0.5443), ("Щ", 0.5420), ("Г", 0.5138), ("І", 0.4856)]
