index;symbol;unicode;width;height;mass;mass_norm;center_x_norm;center_y_norm;inertia_x_norm;inertia_y_norm
;А;U+0410;10;9;29;0,322222;0,524904;0,603448;0,084350;0,052342
;Ә;U+04D8;10;10;40;0,400000;0,530556;0,527778;0,074375;0,079744
;Б;U+0411;8;10;41;0,512500;0,439024;0,517615;0,097858;0,067371
;В;U+0412;9;10;47;0,522222;0,460106;0,503546;0,094830;0,075181
;Г;U+0413;8;10;29;0,362500;0,320197;0,417625;0,111486;0,052430
;Ғ;U+0492;8;10;33;0,412500;0,333333;0,420875;0,098035;0,053662
;Д;U+0414;9;12;37;0,342593;0,587838;0,513514;0,105562;0,081325
;Е;U+0415;8;10;40;0,500000;0,442857;0,491667;0,108944;0,074844
;Ё;U+0401;8;12;43;0,447917;0,445183;0,543340;0,088982;0,071373
;Ж;U+0416;13;10;56;0,430769;0,468750;0,523810;0,102041;0,048935
;З;U+0417;5;10;22;0,440000;0,659091;0,494949;0,101570;0,067438
;И;U+0418;10;10;52;0,520000;0,500000;0,500000;0,095577;0,089423
;Й;U+0419;10;14;64;0,457143;0,500000;0,545673;0,083979;0,078750
;К;U+041A;9;10;42;0,466667;0,401786;0,505291;0,100096;0,062631
;Қ;U+049A;9;11;44;0,444444;0,428977;0,472727;0,086162;0,070369
;Л;U+041B;9;10;39;0,433333;0,612179;0,509972;0,108060;0,061282
;М;U+041C;12;10;57;0,475000;0,521531;0,524366;0,091142;0,092234
;Н;U+041D;10;10;52;0,520000;0,500000;0,495726;0,094793;0,089423
;Ң;U+04A2;10;13;56;0,430769;0,533730;0,409226;0,067895;0,095150
;О;U+041E;10;10;37;0,370000;0,513514;0,495495;0,087348;0,085595
;Ө;U+04E8;10;10;43;0,430000;0,511628;0,488372;0,075414;0,077739
;П;U+041F;10;10;50;0,500000;0,500000;0,480000;0,106176;0,092100
;Р;U+0420;7;10;36;0,514286;0,444444;0,432099;0,087099;0,069161
;С;U+0421;9;10;27;0,300000;0,435185;0,456790;0,111358;0,079900
;Т;U+0422;8;10;30;0,375000;0,500000;0,407407;0,110222;0,039323
;У;U+0423;10;10;28;0,280000;0,476190;0,365079;0,092041;0,055612
;Ұ;U+04B0;10;10;34;0,340000;0,503268;0,437908;0,093495;0,044256
;Ү;U+04AE;10;10;30;0,300000;0,503704;0,422222;0,104267;0,044489
;Ф;U+0424;11;10;48;0,436364;0,504167;0,500000;0,075833;0,058870
;Х;U+0425;10;10;41;0,410000;0,509485;0,468835;0,119762;0,063891
;Һ;U+04BA;9;10;40;0,444444;0,412500;0,591667;0,085694;0,071728
;Ц;U+0426;10;13;53;0,407692;0,526205;0,421384;0,073108;0,096283
;Ч;U+0427;9;10;40;0,444444;0,587500;0,408333;0,085694;0,071728
;Ш;U+0428;14;10;74;0,528571;0,500000;0,513514;0,105055;0,086493
;Щ;U+0429;14;13;77;0,423077;0,518482;0,406926;0,069619;0,090432
;Ъ;U+042A;9;10;38;0,422222;0,532895;0,520468;0,097950;0,054376
;Ы;U+042B;12;10;61;0,508333;0,496274;0,542805;0,092819;0,092571
;І;U+0406;4;10;18;0,450000;0,555556;0,500000;0,126944;0,041667
;Ь;U+042C;8;10;37;0,462500;0,405405;0,570571;0,084953;0,064623
;Э;U+042D;8;10;31;0,387500;0,589862;0,501792;0,093465;0,071312
;Ю;U+042E;14;10;66;0,471429;0,460373;0,498316;0,091589;0,090058
;Я;U+042F;9;10;45;0,500000;0,588889;0,508642;0,095773;0,056857
;а;U+0430;6;7;20;0,476190;0,520000;0,533333;0,097143;0,056667
;ә;U+04D9;6;7;20;0,476190;0,580000;0,550000;0,092041;0,063611
;б;U+0431;7;10;31;0,442857;0,494624;0,512545;0,078502;0,070420
;в;U+0432;6;7;31;0,738095;0,535484;0,516129;0,091316;0,068794
;г;U+0433;6;7;20;0,476190;0,380000;0,408333;0,100969;0,052500
;ғ;U+0493;6;7;22;0,523810;0,372727;0,416667;0,092301;0,053776
;д;U+0434;7;9;26;0,412698;0,551282;0,471154;0,096209;0,084410
;е;U+0435;6;7;20;0,476190;0,530000;0,466667;0,084898;0,064653
;ё;U+0451;6;9;22;0,407407;0,536364;0,545455;0,070197;0,061582
;ж;U+0436;10;7;38;0,542857;0,485380;0,539474;0,100359;0,050748
;з;U+0437;5;7;19;0,542857;0,592105;0,473684;0,097236;0,072465
;и;U+0438;7;7;30;0,612245;0,483333;0,494444;0,094535;0,069864
;й;U+0439;7;10;36;0,514286;0,481481;0,561728;0,080525;0,064374
;к;U+043A;7;7;28;0,571429;0,404762;0,541667;0,100036;0,047272
;қ;U+049B;7;8;29;0,517857;0,425287;0,482759;0,081265;0,054309
;л;U+043B;7;7;28;0,571429;0,565476;0,511905;0,103394;0,058804
;м;U+043C;9;7;39;0,619048;0,516026;0,529915;0,089871;0,076087
;н;U+043D;7;7;29;0,591837;0,477011;0,500000;0,097115;0,071392
;ң;U+04A3;7;8;30;0,535714;0,494444;0,447619;0,079931;0,075488
;о;U+043E;7;7;21;0,428571;0,476190;0,507937;0,080615;0,070526
;ө;U+04E9;7;7;24;0,489796;0,479167;0,506944;0,070543;0,063457
;п;U+043F;7;7;28;0,571429;0,470238;0,482143;0,106909;0,072964
;р;U+0440;7;10;29;0,414286;0,448276;0,417625;0,083210;0,073333
;с;U+0441;6;7;16;0,380952;0,425000;0,489583;0,098135;0,062066
;т;U+0442;6;7;22;0,523810;0,500000;0,424242;0,105245;0,047348
;у;U+0443;7;10;23;0,328571;0,456522;0,400966;0,095425;0,051850
;ұ;U+04B1;7;10;29;0,414286;0,494253;0,440613;0,088609;0,055570
;ү;U+04AF;7;10;23;0,328571;0,492754;0,381643;0,098110;0,045214
;ф;U+0444;9;13;37;0,316239;0,506757;0,509009;0,060702;0,051349
;х;U+0445;7;7;21;0,428571;0,468254;0,500000;0,114674;0,061456
;һ;U+04BB;7;10;28;0,400000;0,446429;0,615079;0,081059;0,071507
;ц;U+0446;7;8;29;0,517857;0,488506;0,463054;0,086913;0,077313
;ч;U+0447;7;7;25;0,510204;0,586667;0,413333;0,094890;0,058971
;ш;U+0448;11;7;47;0,610390;0,500000;0,500000;0,107686;0,082645
;щ;U+0449;11;8;48;0,545455;0,508333;0,443452;0,088047;0,083620
;ъ;U+044A;7;7;23;0,469388;0,500000;0,528986;0,100536;0,062112
;ы;U+044B;9;7;36;0,571429;0,461806;0,541667;0,097931;0,078065
;і;U+0456;4;10;19;0,475000;0,473684;0,619883;0,077175;0,034972
;ь;U+044C;6;7;25;0,595238;0,448000;0,560000;0,087967;0,056178
;э;U+044D;6;7;17;0,404762;0,588235;0,490196;0,087564;0,053825
;ю;U+044E;10;7;40;0,571429;0,475000;0,491667;0,091786;0,082994
;я;U+044F;6;7;24;0,571429;0,533333;0,493056;0,101155;0,054784
