index;symbol;unicode;width;height;mass;mass_norm;center_x_norm;center_y_norm;inertia_x_norm;inertia_y_norm
1;;;10;10;37;0,370000;0,513514;0,495495;0,087348;0,085595
2;;;9;10;27;0,300000;0,435185;0,456790;0,111358;0,079900
3;;;12;10;61;0,508333;0,496274;0,542805;0,092819;0,092571
4;;;12;10;55;0,458333;0,500826;0,515152;0,100496;0,053251
5;;;7;10;31;0,442857;0,440860;0,480287;0,086056;0,063922
6;;;12;10;57;0,475000;0,521531;0,524366;0,091142;0,092234
7;;;9;10;27;0,300000;0,435185;0,456790;0,111358;0,079900
8;;;8;9;27;0,375000;0,534392;0,574074;0,080713;0,064343
9;;;9;11;44;0,444444;0,428977;0,472727;0,086162;0,070369
10;;;11;10;48;0,436364;0,504167;0,500000;0,075833;0,058870
11;;;7;10;36;0,514286;0,444444;0,432099;0,087099;0,069161
12;;;8;9;27;0,375000;0,534392;0,574074;0,080713;0,064343
13;;;10;10;52;0,520000;0,500000;0,495726;0,094793;0,089423
14;;;10;13;53;0,407692;0,526205;0,421384;0,073108;0,096283
15;;;8;10;26;0,325000;0,467033;0,393162;0,090178;0,069180
16;;;5;10;22;0,440000;0,659091;0,494949;0,101570;0,067438
17;;;10;10;37;0,370000;0,513514;0,495495;0,087348;0,085595
18;;;7;10;36;0,514286;0,444444;0,432099;0,087099;0,069161
19;;;8;9;27;0,375000;0,534392;0,574074;0,080713;0,064343
20;;;12;10;57;0,475000;0,521531;0,524366;0,091142;0,092234
21;;;9;12;37;0,342593;0,587838;0,513514;0,105562;0,081325
22;;;8;9;27;0,375000;0,534392;0,574074;0,080713;0,064343
23;;;7;10;36;0,514286;0,444444;0,432099;0,087099;0,069161
24;;;12;10;61;0,508333;0,496274;0,542805;0,092819;0,092571
25;;;10;10;52;0,520000;0,500000;0,495726;0,094793;0,089423
26;;;9;10;42;0,466667;0,401786;0,505291;0,100096;0,062631
27;;;10;10;43;0,430000;0,511628;0,488372;0,075414;0,077739
28;;;8;10;41;0,512500;0,439024;0,517615;0,097858;0,067371
29;;;4;10;18;0,450000;0,555556;0,500000;0,126944;0,041667
30;;;7;10;36;0,514286;0,444444;0,432099;0,087099;0,069161
31;;;8;10;40;0,500000;0,442857;0,491667;0,108944;0,074844
32;;;9;10;42;0,466667;0,401786;0,505291;0,100096;0,062631
33;;;12;10;55;0,458333;0,500826;0,515152;0,100496;0,053251
34;;;8;10;40;0,500000;0,442857;0,491667;0,108944;0,074844
35;;;10;10;50;0,500000;0,500000;0,480000;0,106176;0,092100
36;;;14;10;74;0,528571;0,500000;0,513514;0,105055;0,086493
37;;;8;9;27;0,375000;0,534392;0,574074;0,080713;0,064343
38;;;10;14;64;0,457143;0,500000;0,545673;0,083979;0,078750
39;;;4;10;18;0,450000;0,555556;0,500000;0,126944;0,041667
40;;;14;10;74;0,528571;0,500000;0,513514;0,105055;0,086493
41;;;4;10;18;0,450000;0,555556;0,500000;0,126944;0,041667
42;;;10;13;56;0,430769;0,533730;0,409226;0,067895;0,095150
43;;;4;10;18;0,450000;0,555556;0,500000;0,126944;0,041667
44;;;5;10;22;0,440000;0,659091;0,494949;0,101570;0,067438
