level,n_i,p_i,s_i
0,15206246,0.4728926437,2352362.000000
1,28853,0.0008972873,254997.000000
2,27486,0.0008547755,244198.000000
3,22286,0.0006930629,191421.000000
4,20168,0.0006271961,165490.000000
5,19118,0.0005945426,147105.000000
6,17143,0.0005331229,120085.000000
7,14052,0.0004369972,88270.000000
8,15194,0.0004725118,86520.000000
9,16710,0.0005196573,83057.000000
10,14812,0.0004606322,62753.000000
11,14188,0.0004412266,49497.000000
12,13944,0.0004336386,40289.000000
13,13829,0.0004300623,29318.000000
14,11752,0.0003654705,15703.000000
15,12492,0.0003884834,9544.000000
16,13869,0.0004313062,8401.000000
17,13436,0.0004178405,14518.000000
18,14950,0.0004649238,26950.000000
19,13583,0.0004224120,34802.000000
20,13316,0.0004141087,42697.000000
21,11047,0.0003435460,44346.000000
22,14884,0.0004628713,70157.000000
23,13298,0.0004135489,71999.000000
24,13549,0.0004213546,82872.000000
25,13869,0.0004313062,94105.000000
26,14221,0.0004422529,106977.000000
27,12891,0.0004008918,106391.000000
28,15147,0.0004710502,134080.000000
29,15911,0.0004948095,151900.000000
30,16762,0.0005212744,170575.000000
31,16476804,0.5124051921,2689719.000000
