level,n_i,p_i,s_i
0,252334,0.0078472289,50338.000000
1,1904,0.0000592117,8470.000000
2,1414,0.0000439734,5726.000000
3,1101,0.0000342395,5253.000000
4,14955468,0.4650938042,1776811.000000
5,38807,0.0012068426,273770.000000
6,30714,0.0009551618,212603.000000
7,26042,0.0008098692,172773.000000
8,23787,0.0007397419,147044.000000
9,23781,0.0007395553,132615.000000
10,21471,0.0006677176,109316.000000
11,18901,0.0005877942,83938.000000
12,18702,0.0005816056,70692.000000
13,19713,0.0006130463,61406.000000
14,17927,0.0005575042,44310.000000
15,16207,0.0005040147,29663.000000
16,17593,0.0005471173,19976.000000
17,17340,0.0005392494,9960.000000
18,20905,0.0006501158,12520.000000
19,16938,0.0005267477,19179.000000
20,16675,0.0005185688,30776.000000
21,18932,0.0005887583,46678.000000
22,19715,0.0006131085,61017.000000
23,17779,0.0005529016,67206.000000
24,21379,0.0006648565,93590.000000
25,19782,0.0006151921,99696.000000
26,21199,0.0006592588,118322.000000
27,26680,0.0008297101,163534.000000
28,26075,0.0008108954,170746.000000
29,32243,0.0010027115,220071.000000
30,41167,0.0012802352,284365.000000
31,16353135,0.5085592619,1720784.000000
