t0,t1,f0,f1,fc,energy
0.8,0.9,175.0,225.0,200,74.5256154080936
0.5,0.6,175.0,225.0,200,23.872786265921768
0.9,1.0,175.0,225.0,200,16.22433329688209
0.0,0.1,225.0,275.0,250,14.278752694878117
0.8,0.9,125.0,175.0,150,7.799733382189655
0.6,0.7,175.0,225.0,200,6.89890375313152
1.0,1.1,175.0,225.0,200,6.561723653792725
0.5,0.6,125.0,175.0,150,6.028276089121653
0.1,0.2,225.0,275.0,250,5.749395356688586
0.7,0.8,175.0,225.0,200,5.231774731795183
0.3,0.4,225.0,275.0,250,5.1810700143261155
0.2,0.3,225.0,275.0,250,4.148208616752877
0.8,0.9,75.0,125.0,100,3.8917742789964325
0.8,0.9,375.0,425.0,400,3.860328062314854
0.9,1.0,375.0,425.0,400,3.1688690399679738
