time_start_s,time_end_s,freq_from_hz,freq_to_hz,freq_center_hz,energy
0.8,0.9,175.0,225.0,200.0,74.5256154080936
0.5,0.6,175.0,225.0,200.0,23.872786265922194
0.9,1.0,175.0,225.0,200.0,16.22433329688209
0.0,0.1,225.0,275.0,250.0,14.278752694878703
0.8,0.9,125.0,175.0,150.0,7.799733382189866
0.6,0.7,175.0,225.0,200.0,6.89890375313152
1.0,1.1,175.0,225.0,200.0,6.561723653792726
0.5,0.6,125.0,175.0,150.0,6.0282760891197515
0.1,0.2,225.0,275.0,250.0,5.749395356689009
0.7,0.8,175.0,225.0,200.0,5.231774731795183
0.3,0.4,225.0,275.0,250.0,5.18107001432605
0.2,0.3,225.0,275.0,250.0,4.148208616752877
0.8,0.9,75.0,125.0,100.0,3.891774278996373
0.8,0.9,375.0,425.0,400.0,3.8603280623152507
0.9,1.0,375.0,425.0,400.0,3.1688690399680284
